# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.4

bajo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
bajo.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
bajo.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
bajo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
bajo.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
bajo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
bajo.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
bajo.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
bajo.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
bajo.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
estatura_usada::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
gritar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
gritar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
gritar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
gritar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
gritar.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
gritar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
gritar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
gritar.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
gritar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
gritar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
habilidad.1.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80EB416C69656E746F3A207469656E656E206C6120636170616369646164206465206C616E7A617220756E61206C6C616D61726164612064656C20656C20656C656D656E746F207175652068616C6C6173206573636F6769646F2064652036206D6574726F73206465206C6172676F20636F6E2031206D6574726F7320646520616E63686F2C2065737465206D69736D6F20636F6E73756D652074752061636369C3B36E2061646963696F6E616C2079206C6F20707565646573206C616E7A6172203220766563657320706F7220636F6D626174652E206861636520756E2031643130206465206461C3B16F2E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.10, string, 80B5456C20C39A6C74696D6F20526567616C6F2064652053616E74613A204C616E7A617320756E20726567616C6F206578706C6F7369766F2071756520656D70756A61206120746F646F732061203620626C6F717565732064652064697374616E6369612064656C2070756E746F206465206578706C6F7369C3B36E2E2043617269736D6120767320446566656E73612064656C206F626A657469766F2E2055736F733A20312076657A20706F7220636F6D626174652E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.11, string, 80DB436F6E2065737465205465736F726F2048656C61646FE280A63A20496E766F636120756E206D75C3B165636F206465206E696576652061726D61646F2071756520617461636120636F6E20326434206465206461C3B16F206465206869656C6F206465737075C3A973206465207475207475726E6F2079207469656E652031302070756E746F7320646520766964612E2050756564652073616372696669636172736520706F7220656C2065717569706F20792064757261203320726F6E6461732E2055736F733A20312076657A20706F7220636F6D626174652E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.12, string, 80BD4C6120467565727A613A205573616E646F207475206D656E74652C20746F6D617320636F6E74726F6C20646520756E20656E656D69676F20706F72203520736567756E646F732079206C6F206C616E7A617320686173746120313020626C6F7175657320656E206C612064697265636369C3B36E20646573656164612E2043617269736D6120767320436F6E73746974756369C3B36E2064656C206F626A657469766F2E2055736F733A20312076657A20706F7220636F6D626174652E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.13, string, 80FEC2A154652070726F6D65746F20707565646F20686163657220656C2034213A20446573656E636164656E617320756E612072C3A166616761206465206361726E6520656E20646573636F6D706F73696369C3B36E2071756520696E666C6967652033643132206465206461C3B16F206E656372C3B37469636F207920656E76656E656E6120616C206F626A657469766F20736920616369657274612E2043617269736D6120767320446566656E73612064656C206F626A657469766F2E2055736F733A20312076657A20706F7220636F6D626174652C206E6F20736520726563757065726120636F6E2042656E64696369C3B36E2064652055736865722E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.3, string, 80895061736F204E75626F736F3A20526F646561646F20706F7220756E61206272756D6120706C6174656164612C2074652074656C657472616E73706F72746173206861737461203620626C6F71756573206120756E206C75676172206465736F63757061646F2076697369626C652E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.4, string, 808042656E64696369C3B36E2064652055736865723A2052656375706572617320756E2075736F20646520686162696C69646164657320616C20657374617220656E2061677561206E61747572616C206F2062616A6F206C61206C6C757669612E205061736976612C207365206163746976612063616461203220726F6E6461732E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.5, string, 80D6436F6C6D696C6C6F73206465206C6120416275656C613A20496E766F636120636F6C6D696C6C6F73206F736375726F73207175652061746163616E20656E206CC3AD6E6561207265637461206465203620626C6F717565732C2063617573616E646F20336434206465206461C3B16F20706572666F72616E746520612063616461206F626A657469766F20656E20656C20747261796563746F2E2043617269736D6120767320446566656E73612064656C206F626A657469766F2E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.6, string, 80D75061766F2C2043696E7461207920544E543A20496E766F63617320756E207061766F20636F6E20544E5420717565206578706C6F746120656E20756E20726164696F206465203320626C6F7175657320646573646520656C2070756E746F20646520696D706163746F2C20696E666C696769656E646F20346436206465206461C3B16F20646520667565676F2061206C6F7320656E656D69676F7320656E20656C20C3A17265612E2043617269736D6120767320446566656E73612E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.7, string, 80944D6F646F2052616E613A204F627469656E6573206167696C696461642064652072616E6120717565207465207065726D6974652063616D696E617220736F62726520656C206167756120647572616E7465203320726F6E6461732C20666163696C6974616E646F20657371756976617220617461717565732E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.8, string, 80D84C612050657264696369C3B36E206465206C6F7320506F6C6C6F733A204469737061726120687565766F732072C3A1706964616D656E74652C20696D70696469656E646F2071756520656C206F626A657469766F207365206163657271756520612074692079206D616E74656E69C3A96E646F6C6F2061203420626C6F717565732064652064697374616E63696120706F72203220726F6E6461732E2043617269736D6120767320446566656E73612064656C206F626A657469766F2E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.9, string, 80864D696E692D4578706C6F7369C3B36E3A205265616C697A6120756E61206578706C6F7369C3B36E206469726967696461206120756E20736F6C6F206F626A657469766F2C2063617573616E646F2033643130206465206461C3B16F20646520667565676F2E2043617269736D6120767320446566656E73612064656C206F626A657469766F2E
hablar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
hablar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
hablar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
hablar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
hablar.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
hablar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
hablar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 01
hablar.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
hablar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
hablar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01
modo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80066E6F726D616C
modo.4a6e5360-5d03-3093-ba08-0254e9383d16, string, 80066E6F726D616C
modo.5c149992-9e1b-358f-b473-26d2bb400775, string, 80066E6F726D616C
modo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, string, 80066E6F726D616C
modo.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, string, 80066E6F726D616C
modo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, string, 80066E6F726D616C
modo.d77bb53a-c033-393c-8c6b-65944adf2caf, string, 80066E6F726D616C
