# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.1

bajo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
bajo.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
bajo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
bajo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
bajo.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
gritar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
gritar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
gritar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
gritar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
gritar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
habilidad.1.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80EB416C69656E746F3A207469656E656E206C6120636170616369646164206465206C616E7A617220756E61206C6C616D61726164612064656C20656C20656C656D656E746F207175652068616C6C6173206573636F6769646F2064652036206D6574726F73206465206C6172676F20636F6E2031206D6574726F7320646520616E63686F2C2065737465206D69736D6F20636F6E73756D652074752061636369C3B36E2061646963696F6E616C2079206C6F20707565646573206C616E7A6172203220766563657320706F7220636F6D626174652E206861636520756E2031643130206465206461C3B16F2E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.1, string, 8069496E646F6D61626C65733A20456E206361736F2064652066616C6C617220756E61207469726164612070756564656E20726570657469726C612E2070756564657320757361726C6F20756E612076657A20706F722064C3AD612E2028323420686F726173206F6F6329
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.1, string, 801F496E766F636120616C20706F6465726F736F204665726E616E646F666C6F6F
hablar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
hablar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
hablar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
hablar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
hablar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
modo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80066E6F726D616C
modo.4a6e5360-5d03-3093-ba08-0254e9383d16, string, 80066E6F726D616C
modo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, string, 80066E6F726D616C
modo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, string, 80066E6F726D616C
modo.ed76a186-1ae1-370a-8a68-51d8ecee3986, string, 80066E6F726D616C
ooc.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
ooc.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
ooc.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
ooc.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
ooc.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
staffc.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
staffc.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
susurrar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
susurrar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
susurrar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
susurrar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
susurrar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
toggle_variable.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
toggle_variable.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
toggle_variable.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
toggle_variable.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
toggle_variable.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01

