# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.2

bajo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
bajo.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
bajo.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
bajo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
bajo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
bajo.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
bajo.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
bajo.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
estatura_usada::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
gritar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
gritar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
gritar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
gritar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
gritar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
gritar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
gritar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
gritar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
habilidad.1.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80EB416C69656E746F3A207469656E656E206C6120636170616369646164206465206C616E7A617220756E61206C6C616D61726164612064656C20656C20656C656D656E746F207175652068616C6C6173206573636F6769646F2064652036206D6574726F73206465206C6172676F20636F6E2031206D6574726F7320646520616E63686F2C2065737465206D69736D6F20636F6E73756D652074752061636369C3B36E2061646963696F6E616C2079206C6F20707565646573206C616E7A6172203220766563657320706F7220636F6D626174652E206861636520756E2031643130206465206461C3B16F2E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.1, string, 8010626562657220636F6D6F206B69726B69
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.2, string, 800D6261696C617220706572726F6E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.3, string, 801C717565726572206861636572206C61206175746F6D75726963696F6E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.4, string, 80086578706C6F746172
habilidad.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8.1, string, 800B6D617461206E6567726F73
hablar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
hablar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
hablar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
hablar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
hablar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
hablar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 01
hablar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
hablar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01
modo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80066E6F726D616C
modo.4a6e5360-5d03-3093-ba08-0254e9383d16, string, 80066E6F726D616C
modo.5c149992-9e1b-358f-b473-26d2bb400775, string, 80066E6F726D616C
modo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, string, 80066E6F726D616C
modo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, string, 80066E6F726D616C
modo.d77bb53a-c033-393c-8c6b-65944adf2caf, string, 80066E6F726D616C
modo.ed76a186-1ae1-370a-8a68-51d8ecee3986, string, 80066E6F726D616C
modo.f70ae396-8355-3723-9675-b9fa99feab41, string, 80066E6F726D616C
ooc.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
ooc.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
ooc.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
ooc.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
ooc.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
ooc.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
ooc.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
ooc.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
staffc.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
staffc.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
susurrar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
susurrar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
susurrar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
susurrar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
susurrar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
susurrar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
susurrar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
susurrar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
toggle_variable.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
toggle_variable.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
toggle_variable.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
toggle_variable.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
toggle_variable.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
toggle_variable.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 01
toggle_variable.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
toggle_variable.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01

