# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

bajo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
bajo.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
bajo.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
bajo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
bajo.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
bajo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
bajo.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
bajo.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
bajo.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
bajo.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
estatura_usada::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
estatura_usada::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
gritar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
gritar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
gritar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
gritar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
gritar.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
gritar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
gritar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
gritar.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
gritar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
gritar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
habilidad.1.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80EB416C69656E746F3A207469656E656E206C6120636170616369646164206465206C616E7A617220756E61206C6C616D61726164612064656C20656C20656C656D656E746F207175652068616C6C6173206573636F6769646F2064652036206D6574726F73206465206C6172676F20636F6E2031206D6574726F7320646520616E63686F2C2065737465206D69736D6F20636F6E73756D652074752061636369C3B36E2061646963696F6E616C2079206C6F20707565646573206C616E7A6172203220766563657320706F7220636F6D626174652E206861636520756E2031643130206465206461C3B16F2E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.10, string, 80AB457363616C65726120646520456C646F7269613A20446573646520656C206369656C6F206465736369656E646520756E207261796F2071756520696E666C6967652033643132206465206461C3B16F2072616469616E7465206120717569656E6573206E6F2070756564616E206576616469726C6F2E20436F6E73746974756369C3B36E20767320446566656E73612E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.11, string, 80A54C6F732048C3A9726F6573204E756E6361204D756572656E3A20456D69746520756E61206F6C6120646520656E657267C3AD612073616E61646F726120717565207265737461757261203564382064652076696461206120746F646F73206C6F7320616C6961646F732063657263616E6F7320656E20756E20726164696F206465203520626C6F717565732E2055736F733A20312076657A20706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.12, string, 80A049726120457374656C61723A204C6C616D612061206C61732065737472656C6C617320706172612063617573617220386436206465206461C3B16F2072616469616E746520656E20756E20617461717565206D617369766F20636F6E7472612074757320656E656D69676F732E20436F6E73746974756369C3B36E20767320446566656E73612E2055736F733A20312076657A20706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.3, string, 808253616E612073616E613A20526573746175726173203364342070756E746F732064652076696461206120756E206F626A657469766F2E205075656465732063616E616C697A617220657374612062656E64696369C3B36E206861636961207469206D69736D6F2E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.4, string, 80AB417572612047C3A96C6964613A20556E20617572612068656C6164612072616C656E74697A61206120746F646173206C617320656E746964616465732063657263616E61732C20726564756369656E646F207375206D6F76696D69656E746F2061206C61206D6974616420656E20756E20726164696F206465203520626C6F7175657320706F72203120726F6E64612E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.5, string, 80965072696D65726F7320417578696C696F733A20436F6E20756E61206D616E6F206C6C656E61206465206C757A2C20726573746175726173203264362070756E746F732064652076696461206120756E20616C6961646F2063657263616E6F2063616461207475726E6F20647572616E74652032207475726E6F732E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.6, string, 80C3446573636172676120446976696E613A20556E207261796F206465206C757A20646976696E6120696D7061637461206120756E206F626A657469766F2071756520707565646173207665722C2063617573616E646F20336434206465206461C3B16F2072616469616E74652073692073757065726120737520446566656E73612E20436F6E73746974756369C3B36E20767320446566656E73612064656C206F626A657469766F2E2055736F733A203320766563657320706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.7, string, 807852657374617572616369C3B36E204D61796F723A2053616E6120696E7374616E74C3A16E65616D656E7465203464382070756E746F732064652076696461206120756E206F626A657469766F20636F6E20756E612061636369C3B36E2E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.8, string, 80AE4361737469676F20446976696E6F3A20496E766F6361207261796F732071756520676F6C7065616E206120746F646F7320656E20756E20726164696F206465203320626C6F717565732C2063617573616E646F20336436206465206461C3B16F20656CC3A963747269636F2E20436F6E73746974756369C3B36E20767320446566656E73612064656C206F626A657469766F2E2055736F733A203220766563657320706F7220636F6D626174652E
habilidad.29fd8388-8ad2-3557-a4b8-906cbc75df5e.9, string, 80A845786F726369736D6F3A20556E2063C3AD7263756C6F206F736375726F206472656E61203364342070756E746F732064652076696461206120746F646F7320656E20756E20726164696F206465203520626C6F717565732C20706F722063616461207475726E6F20717565207065726D616E657A63616E20616C6CC3AD20647572616E7465203420726F6E6461732E2055736F733A20312076657A20706F7220636F6D626174652E
hablar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
hablar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
hablar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
hablar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
hablar.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
hablar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
hablar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 01
hablar.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
hablar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
hablar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01
modo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80066E6F726D616C
modo.4a6e5360-5d03-3093-ba08-0254e9383d16, string, 80066E6F726D616C
modo.5c149992-9e1b-358f-b473-26d2bb400775, string, 80066E6F726D616C
modo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, string, 80066E6F726D616C
modo.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, string, 80066E6F726D616C
modo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, string, 80066E6F726D616C
modo.d77bb53a-c033-393c-8c6b-65944adf2caf, string, 80066E6F726D616C
modo.db79b5d2-006f-330e-bae3-c00f907985e5, string, 80066E6F726D616C
modo.ed76a186-1ae1-370a-8a68-51d8ecee3986, string, 80066E6F726D616C
modo.f70ae396-8355-3723-9675-b9fa99feab41, string, 80066E6F726D616C
nametagoff::5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
nametagoff::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
nametagoff::72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
nametagoff::772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 01
nametagoff::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
nametagoff::db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 01
nametagoff::ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
nametagoff::f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01
