# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.10.0

bajo.0473b3de-22be-3b4b-941d-baadd89db938, boolean, 00
bajo.0e12584d-7dac-3ca8-b6e8-742370055ab2, boolean, 00
bajo.16e9691a-c656-3830-84d7-5c1a98e42f1e, boolean, 00
bajo.29258962-bbd8-338e-b978-9208743b5142, boolean, 00
bajo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
bajo.2dde2c39-18c9-3685-9143-57c902bc410f, boolean, 00
bajo.33442c60-8de2-3203-8832-88e6a2d8571a, boolean, 00
bajo.3371cc31-e263-3cf8-a836-7806f42cff8c, boolean, 00
bajo.348518aa-2e4c-3fac-b9d0-e89ab521b015, boolean, 00
bajo.34fc3db7-a1ce-34a0-9f12-b24db31f17b0, boolean, 00
bajo.38cb953a-86d3-3863-8e9f-45da8d163539, boolean, 00
bajo.3bd82eef-fcf2-3f20-8485-7874e9e06f12, boolean, 00
bajo.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
bajo.4bc0d176-770c-3cca-98d7-948c8e09c042, boolean, 00
bajo.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
bajo.68dbca82-12c0-3909-acfd-2aa05d81ca69, boolean, 00
bajo.71d32b4d-436a-3e6e-b8fe-573f60d6f201, boolean, 00
bajo.721c5523-96dd-353e-bfde-21a0bdcc0534, boolean, 00
bajo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
bajo.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
bajo.78eba6af-1b62-3e20-95d6-426099041a63, boolean, 00
bajo.7b77b13d-f0ef-3b40-90d5-91e79ec0ba4e, boolean, 00
bajo.954c2d10-03b1-3b4c-8b7b-ecc6ff895323, boolean, 00
bajo.987931c6-9b33-37c4-b3d3-04210a7ebfb8, boolean, 00
bajo.98da0f18-4622-3daf-9c2b-f8025683b219, boolean, 00
bajo.996528c6-6031-3324-8a5a-a80803b200c1, boolean, 00
bajo.a05a5ccd-5e04-3633-9401-c7017f2263c8, boolean, 00
bajo.a759aa06-8bf8-35f8-8bf0-060a0cbb197c, boolean, 00
bajo.ae6c95ec-ae3d-3777-9838-396c5774098f, boolean, 00
bajo.b7c32ec0-4282-35b2-a76f-163fd7442b2e, boolean, 00
bajo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
bajo.c8c26104-d889-30dc-bf23-7886dbe6f284, boolean, 00
bajo.c9dc162a-a79c-317b-82fa-8cdf0083345e, boolean, 01
bajo.cb826042-06a8-35e2-9285-960fff5833a2, boolean, 00
bajo.d617e568-bc07-312f-af3f-cdad6cf4c884, boolean, 00
bajo.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
bajo.db3bc311-07d1-37fa-8906-e5f6ea37ebc0, boolean, 00
bajo.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
bajo.e11cce62-c01b-31c8-885b-520e348671da, boolean, 00
bajo.e1c62fe7-4c6b-381c-8f82-8725bb8740b9, boolean, 00
bajo.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
bajo.f6c37a87-5883-3a7d-a782-266fb76ee8c4, boolean, 00
bajo.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
estatura_usada::0e12584d-7dac-3ca8-b6e8-742370055ab2, boolean, 01
estatura_usada::2dde2c39-18c9-3685-9143-57c902bc410f, boolean, 01
estatura_usada::4bc0d176-770c-3cca-98d7-948c8e09c042, boolean, 01
estatura_usada::5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
